State,Math Grade,English Grade,College Readiness Grade,Parental Rights,Description 
Massachusetts,A,A,A,F,"Massachusetts is a national leader in academics, with math at 283 and reading at 225 – both the highest or near‑highest in the country – earning As across the board, including an A in college readiness (SAT 1113, ACT 26.1). However, Parental Rights are an F, because despite outstanding outcomes, the state lacks curriculum transparency mandates, has limited open‑enrollment options, and provides poor budget transparency."
Michigan,D,F,D,C,"Michigan’s math at 270 (D) and reading at 209 (F) are both below national averages. College readiness is below average (D), with SAT of 943 (very low) and ACT of 24.5 (high) – the SAT drags the score down. Parental rights are moderate (C), with some transparency and choice policies but not fully developed."
Minnesota,A,C,A,D,"Minnesota excels in math at 282 (A) and in college readiness (SAT 1230, ACT 20.7) – an A. Reading at 214 is only average (C). Parental rights are limited (D), with weak curriculum transparency, modest open‑enrollment options, and inadequate budget transparency, despite strong academic results."
Mississippi,D,A,C,C,"Mississippi’s math at 269 is below average (D), but reading at 219 is exceptionally strong (A). College readiness is average (C), with SAT of 1198 (high) but ACT of 17.7 (very low) – the two offset each other. Parental rights are moderate (C), with some transparency but incomplete choice and budget policies."
Missouri,C,D,B,B,"Missouri has average math at 270 (C) but below‑average reading at 212 (D). College readiness is above average (B), with SAT of 1201 and ACT of 19.8 – the SAT is strong, and the ACT is decent. Parental rights are solid (B), with good curriculum transparency, open‑enrollment access, and budget transparency."
Montana,B,B,C,B,"Montana performs well in math (279, B) and reading (217, B), both above national averages. College readiness is average (C), with SAT of 1182 and ACT of 19.5 – modest scores that yield a middling composite. Parental rights are strong (B), with clear transparency mandates, open‑enrollment policies, and solid budget reporting."
Nebraska,A,D,B,C,"Nebraska posts an excellent math score of 280 (A) but below‑average reading at 212 (D). College readiness is above average (B), driven by a very high SAT of 1249, though ACT is lower at 19.1. Parental rights are moderate (C), with some transparency but incomplete choice and budget policies."
Nevada,F,D,F,D,"Nevada faces significant challenges: math at 265 (F), reading at 213 (D), and college readiness (SAT 1156, ACT 17.2) is also failing – the ACT is among the lowest in the nation. Parental rights are weak (D), with limited curriculum transparency, few open‑enrollment options, and poor budget transparency."
New Hampshire,A,A,B,C,"New Hampshire excels in math (280, A) and reading (221, A), both well above average. College readiness is above average (B), with SAT of 1032 (moderate) and ACT of 25.9 (very high) – the ACT lifts the grade. Parental rights are moderate (C), with some transparency but not fully robust across all pillars."
New Jersey,A,A,B,F,"New Jersey achieves top grades in math (282, A) and reading (222, A), and above‑average college readiness (SAT 1079, ACT 24.1 – B). However, Parental Rights are critically weak (F), with minimal curriculum transparency, restrictive open‑enrollment policies, and poor budget transparency, despite strong academic outcomes."
New Mexico,F,F,F,D,"New Mexico is among the lowest‑performing states, with math at 256 (the lowest in the nation), reading at 201 (the lowest), and college readiness (SAT 875, ACT 20) also failing. Parental rights are weak (D), with few transparency mandates, limited choice, and inadequate budget reporting."
New York State,C,C,B,F,"New York’s math (271, C) and reading (215, C) are right at national averages. College readiness is above average (B), driven by a high ACT of 25.4, though SAT is modest at 1052. Parental rights are an F, with very limited curriculum transparency, restrictive open enrollment, and poor budget transparency."
North Carolina,C,D,F,D,"North Carolina posts average math at 276 (C) but below‑average reading at 213 (D). College readiness is failing (F), with SAT of 1121 (moderate) but a very low ACT of 18.5 – the ACT pulls the composite down. Parental rights are weak (D), with limited transparency and choice policies."
North Dakota,A,B,A,B,"North Dakota performs exceptionally well, with math at 280 (A), reading at 216 (B), and college readiness (SAT 1254 – the highest in the nation, ACT 19.6) earning an A. Parental rights are solid (B), with good curriculum transparency, open‑enrollment access, and budget transparency."
Ohio,A,B,D,B,"Ohio earns an A in math (279) and a B in reading (216), reflecting strong core academics. College readiness is below average (D), with SAT of 1139 and ACT of 19 – both moderate but not enough to lift the composite. Parental rights are strong (B), with clear transparency mandates, open‑enrollment policies, and good budget disclosure."
Oklahoma,F,F,D,A,"Oklahoma struggles in math (264, F) and reading (207, F), both well below national averages. College readiness is below average (D), with SAT of 1161 and ACT of 17.6 (very low). However, Parental Rights are excellent (A), with comprehensive curriculum transparency, robust open‑enrollment options, and strong budget transparency."
Oregon,D,F,C,F,"Oregon’s math at 268 (D) and reading at 207 (F) are both below average. College readiness is average (C), with SAT of 1143 and ACT of 21.1 – the ACT is decent, pulling the grade up. Parental rights are critically weak (F), with limited transparency, restrictive choice, and poor budget reporting."
Pennsylvania,B,B,A,C,"Pennsylvania shows strong academics, with math at 276 (B) and reading at 216 (B). College readiness is excellent (A), with SAT of 1088 and ACT of 24.3 – the ACT is notably high. Parental rights are moderate (C), with some transparency and choice policies but not fully comprehensive."
Rhode Island,C,B,C,D,"Rhode Island posts average math at 270 (C) and strong reading at 216 (B). College readiness is average (C), with SAT of 979 (low) and ACT of 25.4 (high) – the ACT lifts the composite to average. Parental rights are weak (D), with limited transparency and choice."
South Carolina,D,C,F,B,"South Carolina’s math at 268 (D) is below average, while reading at 215 (C) is average. College readiness is failing (F), with SAT of 1024 and ACT of 18.7 – both below the benchmarks. Parental rights are strong (B), with good curriculum transparency, open‑enrollment access, and budget transparency."
South Dakota,A,C,A,D,"South Dakota excels in math (281, A) and college readiness (SAT 1222, ACT 21.1 – A), but reading at 214 is only average (C). Parental rights are limited (D), with weak transparency, modest open‑enrollment options, and inadequate budget disclosure."
Tennessee,B,C,C,A,"Tennessee performs well in math (276, B) but only average in reading (215, C). College readiness is average (C), with SAT of 1195 (good) and ACT of 18.8 (low) – balancing out. Parental rights are top‑tier (A), with strong curriculum transparency, broad open enrollment, and comprehensive budget transparency."
Texas,D,D,F,B,"Texas has below‑average scores in math (269, D) and reading (212, D). College readiness is failing (F), with SAT of 992 and ACT of 19.4 – both below the 1010/21 thresholds. Parental rights are solid (B), with good transparency mandates, open‑enrollment policies, and budget reporting."
Utah,A,A,B,C,"Utah achieves top marks in math (282, A) and reading (219, A), and above‑average college readiness (SAT 1221, ACT 20 – B). Parental rights are moderate (C), with some transparency and choice but not fully robust across all pillars."
Vermont,B,D,B,C,"Vermont shows strong math at 276 (B) but below‑average reading at 213 (D). College readiness is above average (B), with SAT of 1104 and ACT of 23.6 – both solid. Parental rights are moderate (C), with some transparency but incomplete choice and budget policies."
Virginia,C,C,A,F,"Virginia’s math (275, C) and reading (214, C) are around the national average. College readiness is excellent (A), driven by SAT of 1116 and ACT of 24.8 – the ACT is particularly strong. Parental rights are critically weak (F), with limited transparency, restrictive open enrollment, and poor budget reporting."
Washington State,C,B,A,F,"Washington posts average math at 274 (C), strong reading at 216 (B), and exceptional college readiness (SAT 1081, ACT 24.5 – A). Parental rights are an F, with almost no curriculum transparency, limited open‑enrollment options, and very poor budget transparency."
West Virginia,F,F,F,D,"West Virginia faces critical challenges across the board: math at 261 (F), reading at 206 (F), and college readiness (SAT 911, ACT 20.4 – F) are all among the lowest in the country. Parental rights are weak (D), with few transparency mandates, limited choice, and inadequate budget disclosure."
Wisconsin,A,C,B,C,"Wisconsin excels in math (283, A), but reading at 215 is only average (C). College readiness is above average (B), with SAT of 1240 (very high) and ACT of 19.4 (moderate) – the SAT lifts the composite. Parental rights are moderate (C), with some transparency and choice but not fully developed."
Wyoming,B,A,C,F,"Wyoming shows strong academics with math at 278 (B) and reading at 222 (A). College readiness is average (C), with SAT of 1215 (good) and ACT of 19.1 (low) – the ACT pulls the grade down. Parental rights are critically weak (F), with minimal curriculum transparency, restrictive open enrollment, and poor budget transparency."
